cfg_family,cfg_t_steps,cfg_mu_daily,cfg_sigma_daily,cfg_nu,cfg_phi,cfg_garch_alpha,cfg_garch_beta,cfg_p_stay_low,cfg_p_stay_high,cfg_vol_ratio,cfg_label,true_sharpe,sharpe_hat,cov_lo_iid_90,width_lo_iid_90,cov_lo_iid_95,width_lo_iid_95,cov_lo_hac_90,width_lo_hac_90,cov_lo_hac_95,width_lo_hac_95,x_lo_hac_nw_lags,cov_iid_pct_90,width_iid_pct_90,cov_iid_pct_95,width_iid_pct_95,cov_iid_basic_90,width_iid_basic_90,cov_iid_basic_95,width_iid_basic_95,cov_iid_bca_90,width_iid_bca_90,cov_iid_bca_95,width_iid_bca_95,cov_trade_fixed_5_90,width_trade_fixed_5_90,cov_trade_fixed_5_95,width_trade_fixed_5_95,x_trade_fixed_5_n_trades,x_trade_fixed_5_n_dropped_days,cov_trade_fixed_21_90,width_trade_fixed_21_90,cov_trade_fixed_21_95,width_trade_fixed_21_95,x_trade_fixed_21_n_trades,x_trade_fixed_21_n_dropped_days,cov_trade_cusum_90,width_trade_cusum_90,cov_trade_cusum_95,width_trade_cusum_95,x_trade_cusum_n_trades,x_trade_cusum_mean_trade_len,cov_sb_l5_90,width_sb_l5_90,cov_sb_l5_95,width_sb_l5_95,cov_sb_l10_90,width_sb_l10_90,cov_sb_l10_95,width_sb_l10_95,cov_sb_l20_90,width_sb_l20_90,cov_sb_l20_95,width_sb_l20_95,cov_sb_l50_90,width_sb_l50_90,cov_sb_l50_95,width_sb_l50_95,cov_sb_auto_90,width_sb_auto_90,cov_sb_auto_95,width_sb_auto_95,x_sb_auto_block_len,cov_cb_auto_90,width_cb_auto_90,cov_cb_auto_95,width_cb_auto_95,x_cb_auto_block_len
iid_gaussian,250,0.00011780702578236387,0.006057304959210728,,,,,,,,iid_gaussian,0.30873937668502904,1.7670946386678867,1,3.3130557427623586,1,3.9477494095463346,1,3.134934158592473,1,3.7355044510151423,4,1,3.2902244954608473,1,4.003293601013251,1,3.2902244954608473,1,4.003293601013251,1,3.3156771448895115,1,4.004501582337391,1,3.4862320605631734,1,4.130786643318601,50,0,1,3.2198906971323873,1,3.8163052201335304,11,19,1,3.2004165065934047,1,3.9299394219295314,37,6.756756756756757,1,3.192708503343399,1,3.9703159088148046,1,3.1778224983533283,1,3.8107595895601523,1,3.0493708388025964,1,3.523422928528852,0,2.253931779271737,0,2.7106708381257105,1,3.3202516386874215,1,3.9845392351726443,1.0,1,3.4981830225729165,1,4.191842373989228,1.0
iid_gaussian,250,0.00037074677956606944,0.006845276836077747,,,,,,,,iid_gaussian,0.8597786195644481,-0.20428111317243908,1,3.3029766033495918,1,3.935739374172674,1,3.3491318910505985,1,3.9907367916375454,4,1,3.356206705683454,1,3.9326930403754696,1,3.3562067056834546,1,3.9326930403754696,1,3.3495585566809725,1,3.937755233018053,1,3.751746433439619,1,4.379349269163181,50,0,1,3.523410310533966,1,4.227439308069341,11,19,1,3.345766889579613,1,3.987656007727944,35,7.142857142857143,1,3.188036178526189,1,3.7467750535185176,1,3.0709201665372885,1,3.5847334809311464,1,2.77075956752351,1,3.3649194652376364,0,2.2099917063970023,1,2.625469686997136,1,3.3152532291955064,1,4.014731368008557,1.0,1,3.2904053476684876,1,4.088479471303087,1.0
iid_gaussian,250,0.0002187395809787135,0.007290565724999722,,,,,,,,iid_gaussian,0.4762844654194562,0.08645390928267639,1,3.3028643603383645,1,3.935605628375531,1,2.994904910372591,1,3.568649310353265,4,1,3.382089491406137,1,4.061067270968374,1,3.382089491406137,1,4.061067270968374,1,3.3918139523774897,1,4.069440891759094,1,3.0338500625725606,1,3.6048179197413157,50,0,1,3.260964160842109,1,3.8178344704347165,11,19,1,3.260518153782253,1,3.8618817492977398,32,7.8125,1,3.03314436801958,1,3.5948227671271566,1,2.8432083983816163,1,3.416493218434775,1,2.623816010168743,1,3.220430724127513,1,2.2967223717935994,1,2.770844883417512,1,3.2859427134721217,1,3.934885036386139,1.0,1,3.3602928414630746,1,3.9245882671289674,1.0
iid_gaussian,250,0.0002577415885360104,0.013126353930393577,,,,,,,,iid_gaussian,0.31170276958907506,1.3521582139173687,1,3.308825207947307,1,3.9427084163923047,1,3.2826937325620698,1,3.9115708429457947,4,1,3.1973867881811397,1,3.9329253421477546,1,3.1973867881811397,1,3.9329253421477546,1,3.2422885083176767,1,3.8743370755734836,1,3.406565892547669,1,4.178055719262526,50,0,1,3.825409900344817,1,4.536786304654528,11,19,1,3.448581822537334,1,4.145526444200753,32,7.8125,1,3.4781879379970384,1,4.1166852180998745,1,3.4580687334930507,1,4.0332120004217344,1,3.188897573571945,1,3.831083533043402,1,2.6667238100862276,1,3.160185729906458,1,3.2723558332875027,1,3.80686599626421,1.0,1,3.187690842287978,1,3.752318367768164,1.0
iid_gaussian,250,0.0003765264646125972,0.01934627482704184,,,,,,,,iid_gaussian,0.3089572735750136,0.29176049329354803,1,3.303118778423578,1,3.9359087862224436,1,3.161401423932344,1,3.767042142871382,4,1,3.3751722877044594,1,3.96961822953406,1,3.3751722877044594,1,3.96961822953406,1,3.3680354049103944,1,3.98905950210668,1,2.84203588683571,1,3.3946917975867996,50,0,1,3.3856556878490354,1,3.990994399149332,11,19,1,3.2564052331908466,1,3.9413493651147373,37,6.756756756756757,1,3.3367180237187,1,4.017403179505129,1,3.5886724331248847,1,4.200517196941049,1,3.98978081468345,1,4.740694584849534,1,4.213835850793478,1,4.962468027304807,1,3.2892312805882016,1,3.9037310912405996,1.0,1,3.2916655738334963,1,3.9286320919457403,1.0
iid_gaussian,250,0.0007011974769075534,0.012436357335712874,,,,,,,,iid_gaussian,0.8950502597006631,-0.32861785787034264,1,3.3031936929954244,1,3.935998052440622,1,3.2962344410259967,1,3.9277055922508985,4,1,3.2556535477516833,1,3.935069666367822,1,3.2556535477516833,1,3.935069666367822,1,3.2666584159623397,1,3.984226913788777,1,3.5891266881382498,1,4.239318860823239,50,0,1,3.202142272819557,1,3.7069768911190244,11,19,1,3.5040667320321948,1,4.103430430357158,38,6.578947368421052,1,3.2159404265634164,1,3.7973450612733135,1,3.0961176504916725,1,3.7245547192617283,1,2.8674999389660574,1,3.427787231712788,0,2.463651543920866,1,2.979815139306737,1,3.286042892563794,1,3.862284022870101,1.0,1,3.304257997974374,1,3.8663511521360547,1.0
iid_gaussian,250,0.0003014640912653469,0.014074467248227317,,,,,,,,iid_gaussian,0.3400195548309559,2.309103596691187,0,3.3202647469996167,1,3.9563394679186468,0,3.110936638332677,0,3.7069096419349927,4,0,3.2317316930139794,0,3.7752031302843836,0,3.2317316930139794,1,3.7752031302843836,0,3.217511730435028,0,3.805179794514058,0,2.9826612131004966,0,3.5444100264143428,50,0,0,2.3260254523282637,0,2.7975606126960817,11,19,0,3.575890481786286,1,4.407177342503229,39,6.410256410256411,0,3.0214113196284416,0,3.6027093206001832,0,2.9532651558465357,0,3.4372492255808327,0,2.6094854633741487,0,3.1187318484758784,0,2.1251118072784347,0,2.4973218246518436,0,3.2739651218178594,0,3.8930559789164314,1.0,0,3.3196730317173655,0,3.9049432536750053,1.0
iid_gaussian,250,0.000544734175827048,0.011516761699016142,,,,,,,,iid_gaussian,0.7508522955715355,1.7292963926578409,1,3.3126240192476284,1,3.9472349792491426,1,3.707079936565897,1,4.41725819515401,4,1,3.306118329343071,1,3.92606439116717,1,3.306118329343071,1,3.92606439116717,1,3.3226585088223684,1,3.9480180685077464,1,4.07600762332515,1,4.661934429754913,50,0,1,3.581209284273233,1,4.267494236146105,11,19,1,3.318540158332321,1,3.9436394424123824,35,7.142857142857143,1,3.780784652506251,1,4.417641174751271,1,3.759829376166351,1,4.533797788362919,1,3.369252817969729,1,4.058216778412235,1,2.4277423059309733,1,2.959177094275914,1,3.3554058342275686,1,3.9796928595997167,1.0,1,3.2908301024238464,1,4.016198385851204,1.0
iid_gaussian,250,0.0009414629338802279,0.011474230732047138,,,,,,,,iid_gaussian,1.3025065556728233,0.37654480757515907,1,3.3033044171277077,1,3.9361299883818752,1,3.442185310163926,1,4.101616779444395,4,1,3.2845648215642074,1,3.9313434775849494,1,3.2845648215642074,1,3.9313434775849494,1,3.2923720714504316,1,3.938183478819277,1,3.257377858048066,1,3.8273117720031706,50,0,1,3.2243499471676778,1,3.7553682893229707,11,19,1,3.3871584042414877,1,4.171626099478994,43,5.813953488372093,1,3.22917435038089,1,3.7610058491024634,1,2.916185338462172,1,3.3708525396004694,1,2.808509845028993,1,3.253550797951526,1,2.683047145512435,1,3.1319022935174585,1,3.270235409063407,1,3.973403004665197,1.0,1,3.2023272075542053,1,3.8529932475666335,1.0
iid_gaussian,250,0.0007317968223124455,0.012428565772107719,,,,,,,,iid_gaussian,0.9346946884625329,1.345282824215334,1,3.3087645491298026,1,3.9426361369531464,1,3.064026101608475,1,3.651012289752182,4,1,3.292278126151007,1,3.913172595393054,1,3.292278126151007,1,3.913172595393054,1,3.288750113619086,1,3.89148289109093,1,2.9495329025911072,1,3.5245663753388436,50,0,1,2.8415399625093243,1,3.359181627449983,11,19,1,3.4937939029990237,1,4.2104273162904615,42,5.9523809523809526,1,3.0259964664615984,1,3.635110606787663,1,2.9631694986523063,1,3.4354600180692154,1,2.863591326854069,1,3.4466228835481276,1,2.176099546439521,1,2.6420818782490896,1,3.3443330165228167,1,3.8892459591156308,1.0,1,3.2910843657157143,1,3.8908507341506295,1.0
iid_gaussian,250,0.0008411652304243113,0.007379507968506024,,,,,,,,iid_gaussian,1.8094816245595495,3.815456495758869,0,3.3502004873540323,0,3.992010102669255,0,3.493894745092822,1,4.163232371531693,4,0,3.3463742708707427,0,3.983757867733445,0,3.3463742708707427,1,3.983757867733445,0,3.320733939348908,1,4.012119397507721,0,3.2397168203763194,0,3.912607197710403,50,0,0,3.9790982497234544,1,4.792642047714055,11,19,0,3.8727688468234693,0,4.513984778477683,42,5.9523809523809526,0,3.5117658402060083,1,4.182220575305205,0,3.8048773508903566,1,4.53082538907114,0,3.3542412489178375,0,4.030346411818413,0,2.8636997740036296,0,3.397229006252992,0,3.4289050460573653,1,4.196410641965311,1.0,0,3.4006583176912986,0,4.096241566080206,1.0
iid_gaussian,250,0.00018848047339126235,0.01391146037669233,,,,,,,,iid_gaussian,0.21507697082061816,-0.006319020293094233,1,3.302840000843499,1,3.935576602247104,1,3.0783275341907768,1,3.668053497753522,4,1,3.377291506481252,1,4.017770124852786,1,3.377291506481252,1,4.017770124852786,1,3.3868798400524316,1,3.9672679599758496,1,3.20180736735877,1,3.780441482437742,50,0,1,2.154619868554793,1,2.501661516387573,11,19,1,3.148750311150068,1,3.8010078965664906,33,7.575757575757576,1,2.793717578959532,1,3.3544676514611353,1,2.5209567710726075,1,2.9261883168809883,1,2.4512204375604223,1,2.8881207465433922,1,2.4399269814156113,1,2.8098820857969193,1,3.2334276984454045,1,3.875957100403611,1.0,1,3.1880257073118234,1,3.7632093144190684,1.0
iid_gaussian,250,0.001770069189071763,0.015309621080608696,,,,,,,,iid_gaussian,1.835380321826537,2.0539990350753303,1,3.316634861671374,1,3.9520141927727046,1,3.1320365807159085,1,3.7320517740185934,4,1,3.371237981656988,1,4.020718689621125,1,3.371237981656988,1,4.020718689621125,1,3.35731325892072,1,4.03298150938766,1,2.8618906746141257,1,3.542045450618111,50,0,1,3.1848938588162454,1,3.7406565091304267,11,19,1,3.2047664919443033,1,3.8284948302078985,38,6.578947368421052,1,3.0010587204688934,1,3.5952458286998983,1,3.0320946644988616,1,3.5792070163912957,1,2.912033434087157,1,3.4552942130607307,1,2.5917274621020483,1,3.0178042248279904,1,3.2955254973874584,1,3.9953578179337144,1.0,1,3.3932447065117497,1,4.047483081924204,1.0
iid_gaussian,250,0.001192499323411568,0.014293636666167045,,,,,,,,iid_gaussian,1.3243893301812242,1.3297424630427772,1,3.308628578044411,1,3.9424741174117477,1,3.115831435284373,1,3.7127421522445823,4,1,3.228573138906959,1,3.8488814035427863,1,3.228573138906959,1,3.8488814035427863,1,3.2444427865905103,1,3.8208009378901964,1,3.169836704330037,1,3.771287472931559,50,0,1,2.1103507631024803,1,2.515457225618504,11,19,1,3.6128926221032014,1,4.282747811842709,34,7.352941176470588,1,2.951594355109683,1,3.57022786453164,1,2.583684678284801,1,3.0397204186101447,1,2.16460047983946,1,2.629148118088331,1,1.6158962707340456,1,1.950392014107944,1,3.459680784645184,1,4.059487112147251,1.0,1,3.262832098786673,1,3.9497465722981837,1.0
iid_gaussian,250,0.0008322390127793666,0.009692582512181955,,,,,,,,iid_gaussian,1.363040731247442,1.6063976015759414,1,3.3112844536313677,1,3.9456387883663915,1,2.873336355225387,1,3.4237914422506215,4,1,3.3773523400024366,1,4.054897038090485,1,3.3773523400024366,1,4.054897038090484,1,3.3667642121927273,1,4.053839452646485,1,3.0731916484386055,1,3.6158682115938587,50,0,1,3.974016445348526,1,4.797292073501746,11,19,1,3.186557920154031,1,3.85278856773219,30,8.333333333333334,1,2.9511273318209947,1,3.4679915742190204,1,2.9018712202136303,1,3.485461534133164,1,2.5864390775379884,1,3.149842830996261,1,2.0888155607867116,1,2.4522902602623624,1,3.3626553824209133,1,3.969735537092151,1.0,1,3.2880162472367944,1,3.975400659412334,1.0
iid_gaussian,250,0.00014054644213982632,0.008354278829843936,,,,,,,,iid_gaussian,0.26706142406586797,1.1445271610574663,1,3.307129277195253,1,3.9406875902593073,1,3.3520436498198247,1,3.9942063662099216,4,1,3.3495170774355154,1,4.027736289927254,1,3.3495170774355154,1,4.027736289927254,1,3.327625848670897,1,4.046965082524732,1,3.0993141866001257,1,3.678367675623365,50,0,1,3.854347902602266,1,4.56930353017269,11,19,1,3.305548439655402,1,3.9727882708708497,34,7.352941176470588,1,3.367672563937373,1,4.070868442550513,1,3.513384340886991,1,4.1914340826209395,1,3.4582616739156666,1,4.052689062323097,1,3.044711423643931,1,3.693207667547625,1,3.2930455650467665,1,3.8752551415300696,1.0,1,3.2733978553681142,1,3.842140375018836,1.0
iid_gaussian,250,0.00011620941316416152,0.015707421418242978,,,,,,,,iid_gaussian,0.11744558156949969,-0.2829178951503139,1,3.303102129116541,1,3.935888947349473,1,3.232012074410342,1,3.8511799224246412,4,1,3.2490505244762162,1,3.8159749312178075,1,3.2490505244762162,1,3.8159749312178075,1,3.2358398056804076,1,3.799507535796467,1,3.3834831460864665,1,3.9976989983998292,50,0,1,3.1999073872825736,1,3.840399431844861,11,19,1,3.577318546115519,1,4.182367647941736,37,6.756756756756757,1,3.1839808482883916,1,3.8627038159739895,1,3.196604379295311,1,3.7467437006183117,1,3.165298844258186,1,3.71764828041813,1,2.7256043195137982,1,3.216971414380966,1,3.227441796477054,1,3.9481346849916026,1.0,1,3.228983718056027,1,3.8703854932937203,1.0
iid_gaussian,250,0.001305539154907796,0.015152729012681642,,,,,,,,iid_gaussian,1.3677266693752483,0.26523040583222507,1,3.3030703633855163,1,3.9358510961463447,1,3.3597753735127966,1,4.003419283230827,4,1,3.278517001763849,1,3.9690898075541616,1,3.278517001763849,1,3.9690898075541616,1,3.3065731991055936,1,3.9819168891499004,1,3.3937306421962994,1,4.070706371052638,50,0,1,2.993513903454794,1,3.44047525812024,11,19,1,3.6152529787329595,1,4.318416332005025,38,6.578947368421052,1,3.368995169057254,1,4.0628744526447,1,3.256904608269087,1,3.8343960579699443,1,2.920459851319834,1,3.461219833972155,1,2.393457189329725,1,2.988790806218389,1,3.3252841158332007,1,3.8973099199107506,1.0,1,3.276992615340882,1,3.9051224652352117,1.0
iid_gaussian,250,0.0012652489558657252,0.01065587328465089,,,,,,,,iid_gaussian,1.8848952090825393,3.3976045751126387,1,3.3404501833380014,1,3.9803918988384637,1,3.5270430103198454,1,4.20273096577157,4,1,3.290004106577263,1,3.8047306922305815,1,3.290004106577263,1,3.8047306922305815,1,3.248604057426737,1,3.852382343838081,1,3.7085733355724777,1,4.271537936486718,50,0,1,5.383202897343939,1,6.343352386962664,11,19,1,3.347625989750171,1,4.040922612162467,39,6.410256410256411,1,3.5376623062089516,1,4.229933333149219,1,3.7403234255269178,1,4.489942595176735,1,3.8181059912793445,1,4.4778084391172674,1,3.3347505379843296,1,4.0122778834660515,1,3.2404360849756584,1,3.8243366333210056,1.0,1,3.186979643888802,1,3.806197426824447,1.0
