cfg_family,cfg_t_steps,cfg_mu_daily,cfg_sigma_daily,cfg_nu,cfg_phi,cfg_garch_alpha,cfg_garch_beta,cfg_p_stay_low,cfg_p_stay_high,cfg_vol_ratio,cfg_label,true_sharpe,mdd_hat,true_q5,true_q50,prob_iid_pct_q5,qhat_iid_pct_q5,relerr_iid_pct_q5,prob_iid_pct_q50,qhat_iid_pct_q50,relerr_iid_pct_q50,prob_trade_fixed_5_q5,qhat_trade_fixed_5_q5,relerr_trade_fixed_5_q5,prob_trade_fixed_5_q50,qhat_trade_fixed_5_q50,relerr_trade_fixed_5_q50,prob_sb_l20_q5,qhat_sb_l20_q5,relerr_sb_l20_q5,prob_sb_l20_q50,qhat_sb_l20_q50,relerr_sb_l20_q50,prob_sb_auto_q5,qhat_sb_auto_q5,relerr_sb_auto_q5,prob_sb_auto_q50,qhat_sb_auto_q50,relerr_sb_auto_q50,prob_cb_auto_q5,qhat_cb_auto_q5,relerr_cb_auto_q5,prob_cb_auto_q50,qhat_cb_auto_q50,relerr_cb_auto_q50
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.10101613492798994,-0.2206787290697474,-0.11691747757269988,0.08135,-0.20164189202928492,0.08626493872205378,0.5978,-0.10696149451993725,0.08515393300862097,0.04615,-0.22419241049467578,-0.015922157245240702,0.45895,-0.12182200551600894,-0.04194862945327743,0.1131,-0.18778192808628086,0.1490710097984533,0.5877,-0.10794767167665847,0.07671911917928553,0.0981,-0.19359000093819334,0.12275187665682281,0.5734,-0.10925677133319267,0.06552233591204312,0.08145,-0.20150826679932946,0.08687045802388571,0.59425,-0.1073405684595791,0.08191169799370512
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.20558336047351747,-0.2206787290697474,-0.11691747757269988,0.00165,-0.3275562063682128,-0.4843125467914304,0.1448,-0.17749067746721114,-0.5180850729254447,0.00155,-0.32945915682748095,-0.4929357179837327,0.12775,-0.18280167888167415,-0.5635102867148938,0.00325,-0.31271223292552397,-0.4170474619087035,0.1377,-0.1797599315347729,-0.537494096406564,0.0035,-0.30952582827839,-0.40260835098683984,0.1624,-0.17277645169902944,-0.4777641058121201,0.00325,-0.31207611132387175,-0.41416489318840255,0.159,-0.1735360323691167,-0.48426083056069275
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.08749527587638577,-0.2206787290697474,-0.11691747757269988,0.11435,-0.18736004244506732,0.15098277375953809,0.6374,-0.10307928089961102,0.11835866596150434,0.0486,-0.221936817271919,-0.005700994416067956,0.48415,-0.11875897849103165,-0.015750433182128078,0.27075,-0.14843462804337376,0.32737229061864076,0.7696,-0.08975291563005525,0.23233961685286592,0.10865,-0.18934033022988053,0.14200915046036036,0.63015,-0.10377820275187269,0.11238075857954703,0.10875,-0.18927093202575218,0.14232362664218765,0.6212,-0.1047116681524067,0.10439679057139716
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.11748148557776086,-0.2206787290697474,-0.11691747757269988,0.1418,-0.17862488161208284,0.1905659310026798,0.72125,-0.09462809927108587,0.19064197042528874,0.17785,-0.1684339300116045,0.23674596676524484,0.72895,-0.09385597083509702,0.19724601673229822,0.1519,-0.1755708041435721,0.20440540470902635,0.59665,-0.10709065472957319,0.0840492204171641,0.17015,-0.1705990369343389,0.22693484028349822,0.72325,-0.09441439295137906,0.192469809377544,0.1624,-0.17273049655152214,0.21727618570374674,0.70785,-0.09601962158707128,0.17874022275783538
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.14066492673291953,-0.2206787290697474,-0.11691747757269988,0.035,-0.234851997780772,-0.0642258035958918,0.4393,-0.12433617966102528,-0.06345246444196007,0.02025,-0.25411532877853077,-0.15151709387548382,0.4,-0.12923564612179783,-0.10535780282668562,0.0299,-0.24026280301686412,-0.08874472872701299,0.3514,-0.13582869576180007,-0.1617484278801781,0.0346,-0.23531217406641075,-0.06631108062997015,0.45,-0.12302335653386226,-0.05222383417710765,0.03995,-0.22980087953845937,-0.04133679085050761,0.46055,-0.12164264971540975,-0.04041459190540384
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.10976538543816747,-0.2206787290697474,-0.11691747757269988,0.05175,-0.219942655765899,0.00333549729487409,0.4913,-0.11794367022280935,-0.008777067992006444,0.0856,-0.19926156458275945,0.09705133148659226,0.54415,-0.11216023526843696,0.040688889317722736,0.14105,-0.17882325004271254,0.1896670295477643,0.62885,-0.10391495028004874,0.11121115134019294,0.0605,-0.21423640739748506,0.029193215401499703,0.51715,-0.11515039192441573,0.015113956313207043,0.05655,-0.21663809427181552,0.018310032937768086,0.50035,-0.11688298956529831,0.0002949773474211316
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.14310437368281684,-0.2206787290697474,-0.11691747757269988,0.04135,-0.22873582369489098,-0.036510517615846325,0.48665,-0.11844276420277178,-0.013045839353859367,0.07615,-0.2049575705455202,0.07124002657844923,0.5754,-0.10911074944280916,0.06677126715324883,0.05835,-0.21558677526469205,0.023074058050452078,0.4809,-0.11922219001614329,-0.019712300430107427,0.0499,-0.22088355862966624,-0.0009281798965504865,0.5026,-0.11667690773378339,0.0020576037382169857,0.0441,-0.22605869294719894,-0.024379168305574028,0.48495,-0.11866334869763338,-0.014932507621436775
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.07590143607453588,-0.2206787290697474,-0.11691747757269988,0.108,-0.18953918065215097,0.14110806487268873,0.6499,-0.1018752268124461,0.12865699014846121,0.32995,-0.13890539911278812,0.3705537470768835,0.85035,-0.08102112973736983,0.3070229411424782,0.44715,-0.12335753707909333,0.4410084850538308,0.8921,-0.0759014360745366,0.35081189185474254,0.11045,-0.18869741450678537,0.1449225065676994,0.659,-0.1009679421587118,0.1364170331511863,0.1023,-0.1916220948026632,0.13166939282988435,0.65575,-0.1012660673340435,0.1338671562506491
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.08269879895965665,-0.2206787290697474,-0.11691747757269988,0.3846,-0.13144850974007796,0.4043444499875992,0.8847,-0.07701608584405785,0.34127824647800103,0.2435,-0.1536553142805039,0.3037148848544445,0.80765,-0.0858408918425066,0.2657993173934984,0.35805,-0.13501710735108624,0.38817344145382976,0.8363,-0.08269879895965628,0.29267376720273713,0.37985,-0.13204129653220376,0.4016582518450567,0.8886,-0.07644200343404098,0.3461883969699145,0.3705,-0.13323156221035065,0.3962645934568452,0.8842,-0.07712338803094343,0.34036048645517764
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.19504633098434374,-0.2206787290697474,-0.11691747757269988,0.0008,-0.34644318991805984,-0.5698984282647537,0.0848,-0.19950381458804334,-0.7063643411567005,0.00395,-0.3068465246906899,-0.39046715550780814,0.1325,-0.18148809830560939,-0.5522751779583952,0.0014,-0.3311373157633651,-0.5005402521541,0.09565,-0.19500264028903952,-0.6678656120320924,0.00085,-0.34207626798890645,-0.5501098335616675,0.08655,-0.19884400955133033,-0.7007210015088473,0.00095,-0.34029143515798155,-0.5420219093722872,0.0897,-0.197474785345264,-0.6890099704937029
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.1416579758363268,-0.2206787290697474,-0.11691747757269988,0.13775,-0.17970513263765459,0.18567080119055224,0.7043,-0.09638016981000803,0.17565643896073316,0.05655,-0.21662953747993294,0.018348807820687936,0.5207,-0.11476655637801128,0.01839691754683251,0.0214,-0.25229753262571286,-0.14327979723850992,0.30745,-0.14231495278842027,-0.21722565131400573,0.14055,-0.1789494746783603,0.18909504584920006,0.68335,-0.09846106557152438,0.157858451827266,0.1444,-0.17760941632967014,0.19516748588154514,0.6916,-0.09768045034062334,0.16453508604062092
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.07570110331796337,-0.2206787290697474,-0.11691747757269988,0.2795,-0.14691993098270537,0.3342361014945393,0.8363,-0.0827005769129265,0.292658560295206,0.5077,-0.11614162215589545,0.4737072184279804,0.95225,-0.06633646675311447,0.4326214683184033,0.3874,-0.1310040931403644,0.40635831240917,0.88195,-0.07742012743969055,0.33782246207330013,0.2794,-0.1469434638491831,0.3341294629137529,0.83925,-0.08228527514058469,0.2962106534549611,0.2858,-0.14581889145101945,0.33922543388886317,0.83655,-0.08262891414230106,0.29327149492322924
